"OWNER;TABLE_NAME;B;L;U;COMP;POS;COLS;TOTAL_GB;TOTAL_%;CUM_%;PART.;TABLE_GB;TAB_TABSPACE;IND.;INDEX_GB;IND_TABSPACE;LOBS;LOB_GB"
"SYS;WRH$_SYSTEM_EVENT;;;X;NN-;90;12;0.03;0.00;99.06;10;0.02;SYSAUX;1;0.02;SYSAUX;0;0.00"
"SYS;WRH$_SEG_STAT;;;X;NN-;91;57;0.03;0.00;99.06;10;0.02;SYSAUX;1;0.01;SYSAUX;0;0.00"
"SYS;WRI$_ADV_MESSAGE_GROUPS;;;X;NN-;92;14;0.03;0.00;99.07;0;0.01;SYSAUX;2;0.02;SYSAUX;0;0.00"
"SAPSR3DB;XI_REPSYNCBLOB;;;X;NNN;93;6;0.03;0.00;99.07;0;0.00;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.02"
"SAPSR3DB;XI_PVSETELEMENT;;;;NN-;94;12;0.03;0.00;99.07;0;0.01;PSAPSR3DB;6;0.02;PSAPSR3DB;0;0.00"
"SAPSR3DB;XI_REPSYNC_LNK;;;X;NN-;95;15;0.03;0.00;99.07;0;0.01;PSAPSR3DB;3;0.02;PSAPSR3DB;0;0.00"
"SYS;METASTYLESHEET;;;;N-N;96;3;0.03;0.00;99.07;0;0.00;SYSTEM;0;0.00;;B1;0.03"
"SAPSR3DB;XI_REPDATABLOB;;;X;NNN;97;4;0.03;0.00;99.07;0;0.00;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.02"
"SAPSR3DB;BC_COMP_CLS;;;X;NN-;98;3;0.03;0.00;99.07;0;0.01;PSAPSR3DB;3;0.02;PSAPSR3DB;0;0.00"
"SAPSR3DB;XI_REPDATAADAPTMD;;;X;NNN;99;2;0.03;0.00;99.07;0;0.00;PSAPSR3DB;1;0.00;PSAPSR3DB;S1;0.03"
"SYSTEM;LOGMNR_COL$;;;;NN-;100;20;0.03;0.00;99.07;2;0.01;SYSAUX;3;0.02;SYSAUX;0;0.00"
